Recall,Precision,Threshold
1.0,0.00010054293183189222,3.288594067312709e-17
1.0,0.00010054495364877637,3.348212812966005e-17
1.0,0.00010054697554697554,3.4203598351162254e-17
1.0,0.00010054899752649466,3.443191900555121e-17
1.0,0.00010055101958733862,3.506739008917015e-17
1.0,0.00010055304172951231,3.5133843669829664e-17
1.0,0.00010055506395302067,3.530200035091522e-17
1.0,0.0001005570862578686,3.539433397104962e-17
1.0,0.00010055910864406098,3.58303675634588e-17
1.0,0.00010056113111160274,3.5941584030754385e-17
1.0,0.00010056315366049879,3.657463011184234e-17
1.0,0.00010056517629075403,3.701257547502327e-17
1.0,0.00010056719900237339,3.709118176835085e-17
1.0,0.00010056922179536175,3.7613268879869646e-17
1.0,0.00010057124466972404,3.92755254961508e-17
1.0,0.00010057326762546515,4.041946531343789e-17
1.0,0.00010057529066259002,4.048889201701622e-17
1.0,0.00010057731378110354,4.0670793916367445e-17
1.0,0.00010057933698101061,4.122746537732601e-17
1.0,0.00010058136026231619,4.137128555697361e-17
1.0,0.00010058338362502515,4.151523990794373e-17
1.0,0.0001005854070691424,4.1791691327479485e-17
1.0,0.00010058743059467289,4.1944758952113187e-17
1.0,0.0001005894542016215,4.227020536607873e-17
1.0,0.00010059147788999316,4.265389240658352e-17
1.0,0.00010059350165979277,4.3108990607301094e-17
1.0,0.00010059552551102527,4.316047227176957e-17
1.0,0.00010059754944369555,4.375094436386409e-17
1.0,0.00010059957345780853,4.387791511335554e-17
1.0,0.00010060159755336915,4.398452726056127e-17
1.0,0.00010060362173038229,4.5292010871385235e-17
1.0,0.0001006056459888529,4.5410539969704576e-17
1.0,0.00010060767032878587,4.5729141858700013e-17
1.0,0.00010060969475018613,4.6426947268204524e-17
1.0,0.00010061171925305859,4.6741144845736314e-17
1.0,0.00010061374383740819,4.7020288039382924e-17
1.0,0.00010061576850323983,4.7504484861321755e-17
1.0,0.00010061779325055842,4.7572999465584846e-17
1.0,0.00010061981807936892,4.810876396528345e-17
